pr_number,title,author,url,outcome,replacement_prs,notes
397,Saniya day 5,Saniya78699,https://github.com/z-pandeyji/BIT-SummerTraining/pull/397,merged-direct,,Structure and completion review passed.
396, Day 05 Assignment - Rahul Singh - Batch B,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/396,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
395,Day 04 Assignment - Rahul Singh - Batch B,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/395,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
394, Day 03 Assignment - Rahul Singh - Batch B,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/394,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
393,Day - 02  Assignment - Rahul Singh - Batch B ,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/393,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
392,Add Day 14 assignment by Priyanshu,code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/392,merged-direct,,Structure and completion review passed.
391,Add Day 13 assignment by Priyanshu,code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/391,merged-direct,,Structure and completion review passed.
390,Add Day 12 assignment by Priyanshu,code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/390,merged-direct,,Structure and completion review passed.
389,saniya day 4,Saniya78699,https://github.com/z-pandeyji/BIT-SummerTraining/pull/389,merged-direct,,Structure and completion review passed.
388,Add day 12 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/388,merged-direct,,Structure and completion review passed.
387,Add day-11 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/387,merged-direct,,Structure and completion review passed.
386,Day 1: Added Python solution by Rahul Singh,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/386,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
385,Day 12 assignment by AnkitaSingh,Ankita30singh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/385,replaced-by-clean-repair,#401,Completed assignment files moved to canonical paths; original malformed PR closed.
383,Day 07 malya,malyasrivastava886,https://github.com/z-pandeyji/BIT-SummerTraining/pull/383,replaced-by-clean-repair,#402,Completed assignment files moved to canonical paths; original malformed PR closed.
382,Day 10 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/382,closed-incomplete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
381,Day 09 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/381,replaced-by-clean-repair,#403,Completed assignment files moved to canonical paths; original malformed PR closed.
380,Day 08 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/380,replaced-by-clean-repair,#404,Completed assignment files moved to canonical paths; original malformed PR closed.
379,Completed Day 11 Assignment by Aradhana,Aradhana-Cypher,https://github.com/z-pandeyji/BIT-SummerTraining/pull/379,merged-direct,,Structure and completion review passed.
378,Completed Day 10 Assignment by Aradhana,Aradhana-Cypher,https://github.com/z-pandeyji/BIT-SummerTraining/pull/378,merged-direct,,Structure and completion review passed.
377,Add Day 9 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/377,merged-direct,,Structure and completion review passed.
376,Add Day 8 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/376,merged-direct,,Structure and completion review passed.
375,Add Day 7 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/375,merged-direct,,Structure and completion review passed.
374,Add Day 11 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/374,merged-direct,,Structure and completion review passed.
373,Add Day 10 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/373,merged-direct,,Structure and completion review passed.
372,Add Day 14 assignment by Khushi Patwa,patwakhushi1502,https://github.com/z-pandeyji/BIT-SummerTraining/pull/372,merged-direct,,Structure and completion review passed.
371,Day 05 ashish,ashish972168,https://github.com/z-pandeyji/BIT-SummerTraining/pull/371,replaced-by-clean-repair,#405,Completed assignment files moved to canonical paths; original malformed PR closed.
370,aman_sahani,aman051005,https://github.com/z-pandeyji/BIT-SummerTraining/pull/370,replaced-by-clean-repair,#406 | #407 | #408 | #409 | #410 | #411 | #412,Completed assignment files moved to canonical paths; original malformed PR closed.
369,aman_sahani,aman051005,https://github.com/z-pandeyji/BIT-SummerTraining/pull/369,closed-duplicate,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
368,Add Day 13 assignment by Khushi Patwa,patwakhushi1502,https://github.com/z-pandeyji/BIT-SummerTraining/pull/368,merged-direct,,Structure and completion review passed.
367,Day 07 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/367,replaced-by-clean-repair,#413,Completed assignment files moved to canonical paths; original malformed PR closed.
366,Add Day 4 assignment by Ashish Sharma,ashish972168,https://github.com/z-pandeyji/BIT-SummerTraining/pull/366,merged-direct,,Structure and completion review passed.
365,Add day 10 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/365,replaced-by-clean-repair,#414,Completed assignment files moved to canonical paths; original malformed PR closed.
364,Add Day 3 assignment by Ashish Sharma,ashish972168,https://github.com/z-pandeyji/BIT-SummerTraining/pull/364,merged-direct,,Structure and completion review passed.
363,Day 13 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/363,replaced-by-clean-repair,#415,Completed assignment files moved to canonical paths; original malformed PR closed.
362,Day 12 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/362,replaced-by-clean-repair,#416,Completed assignment files moved to canonical paths; original malformed PR closed.
361,Day 07 avinash,ARCQ001,https://github.com/z-pandeyji/BIT-SummerTraining/pull/361,replaced-by-clean-repair,#417,Completed assignment files moved to canonical paths; original malformed PR closed.
360,Add Day 4 assignment by Siddharth,siddharthbca81,https://github.com/z-pandeyji/BIT-SummerTraining/pull/360,merged-direct,,Structure and completion review passed.
359,Add Day 3 assignment by Siddharth,siddharthbca81,https://github.com/z-pandeyji/BIT-SummerTraining/pull/359,merged-direct,,Structure and completion review passed.
358,Add Day 2 assignment by Siddharth,siddharthbca81,https://github.com/z-pandeyji/BIT-SummerTraining/pull/358,merged-direct,,Structure and completion review passed.
357,Add Day 1 assignment by Siddharth,siddharthbca81,https://github.com/z-pandeyji/BIT-SummerTraining/pull/357,closed-incomplete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
356,Add Day 12 assignment by Khushi Patwa,patwakhushi1502,https://github.com/z-pandeyji/BIT-SummerTraining/pull/356,merged-direct,,Structure and completion review passed.
355,Day 06 priyanshutripathi,priyanshutripathi97,https://github.com/z-pandeyji/BIT-SummerTraining/pull/355,replaced-by-clean-repair,#418,Completed assignment files moved to canonical paths; original malformed PR closed.
354,Day 05 priyanshutripathi,priyanshutripathi97,https://github.com/z-pandeyji/BIT-SummerTraining/pull/354,replaced-by-clean-repair,#419,Completed assignment files moved to canonical paths; original malformed PR closed.
353,Day 04 priyanshutripathi,priyanshutripathi97,https://github.com/z-pandeyji/BIT-SummerTraining/pull/353,replaced-by-clean-repair,#420,Completed assignment files moved to canonical paths; original malformed PR closed.
352,Day 03 priyanshutripathi,priyanshutripathi97,https://github.com/z-pandeyji/BIT-SummerTraining/pull/352,replaced-by-clean-repair,#421,Completed assignment files moved to canonical paths; original malformed PR closed.
351,Day 02 priyanshutripathi,priyanshutripathi97,https://github.com/z-pandeyji/BIT-SummerTraining/pull/351,replaced-by-clean-repair,#422,Completed assignment files moved to canonical paths; original malformed PR closed.
350,day 1 assignment,priyanshutripathi97,https://github.com/z-pandeyji/BIT-SummerTraining/pull/350,closed-incomplete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
349,day 5 ritu,ritutiwari8,https://github.com/z-pandeyji/BIT-SummerTraining/pull/349,merged-direct,,Structure and completion review passed.
348,day 4 ritu,ritutiwari8,https://github.com/z-pandeyji/BIT-SummerTraining/pull/348,merged-direct,,Structure and completion review passed.
347,Day 11 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/347,replaced-by-clean-repair,#424,Completed assignment files moved to canonical paths; original malformed PR closed.
346,Day 10 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/346,replaced-by-clean-repair,#425,Completed assignment files moved to canonical paths; original malformed PR closed.
345,Day 09 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/345,replaced-by-clean-repair,#426,Completed assignment files moved to canonical paths; original malformed PR closed.
344,Day 08 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/344,replaced-by-clean-repair,#427,Completed assignment files moved to canonical paths; original malformed PR closed.
343,Day 07 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/343,replaced-by-clean-repair,#428,Completed assignment files moved to canonical paths; original malformed PR closed.
342,Day 06 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/342,replaced-by-clean-repair,#429,Completed assignment files moved to canonical paths; original malformed PR closed.
341,Day 05 rajsingh,raj04615,https://github.com/z-pandeyji/BIT-SummerTraining/pull/341,replaced-by-clean-repair,#430,Completed assignment files moved to canonical paths; original malformed PR closed.
340,Day 4 Assignment - Rishabh,RishabhForge,https://github.com/z-pandeyji/BIT-SummerTraining/pull/340,merged-direct,,Structure and completion review passed.
339,Day 3 Assignment - Rishabh,RishabhForge,https://github.com/z-pandeyji/BIT-SummerTraining/pull/339,merged-direct,,Structure and completion review passed.
338,Add Day 01 anandsingh,anandsingh1007567-sketch,https://github.com/z-pandeyji/BIT-SummerTraining/pull/338,merged-direct,,Structure and completion review passed.
336,Day 08 avinash,ARCQ001,https://github.com/z-pandeyji/BIT-SummerTraining/pull/336,replaced-by-clean-repair,#431,Completed assignment files moved to canonical paths; original malformed PR closed.
335,Day 09 avinash,ARCQ001,https://github.com/z-pandeyji/BIT-SummerTraining/pull/335,replaced-by-clean-repair,#432,Completed assignment files moved to canonical paths; original malformed PR closed.
334,Day 2 Assignment - Rishabh,RishabhForge,https://github.com/z-pandeyji/BIT-SummerTraining/pull/334,merged-direct,,Structure and completion review passed.
333,Day 10 avinash,ARCQ001,https://github.com/z-pandeyji/BIT-SummerTraining/pull/333,replaced-by-clean-repair,#433,Completed assignment files moved to canonical paths; original malformed PR closed.
332,Day 11 avinash,ARCQ001,https://github.com/z-pandeyji/BIT-SummerTraining/pull/332,replaced-by-clean-repair,#434,Completed assignment files moved to canonical paths; original malformed PR closed.
331,Day 11 solution,priyayadav962840-byte,https://github.com/z-pandeyji/BIT-SummerTraining/pull/331,replaced-by-clean-repair,#435,Completed assignment files moved to canonical paths; original malformed PR closed.
329,Day 06 solution by Vipul Yadav,vipulyadav6068,https://github.com/z-pandeyji/BIT-SummerTraining/pull/329,replaced-by-clean-repair,#436,Completed assignment files moved to canonical paths; original malformed PR closed.
328,Day 06 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/328,replaced-by-clean-repair,#437,Completed assignment files moved to canonical paths; original malformed PR closed.
327,Day 02 raj kumar clean,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/327,replaced-by-clean-repair,#438,Completed assignment files moved to canonical paths; original malformed PR closed.
326,Day 01 raj kumar clear,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/326,replaced-by-clean-repair,#439,Completed assignment files moved to canonical paths; original malformed PR closed.
325,Completed Day 08 Assignment by Aradhana,Aradhana-Cypher,https://github.com/z-pandeyji/BIT-SummerTraining/pull/325,merged-direct,,Structure and completion review passed.
324,Add Day 3 assignment by Saniya,Saniya78699,https://github.com/z-pandeyji/BIT-SummerTraining/pull/324,merged-direct,,Structure and completion review passed.
322,Add Day 2 assignment,Saniya78699,https://github.com/z-pandeyji/BIT-SummerTraining/pull/322,merged-direct,,Structure and completion review passed.
321,Day 04 rohan nishad,rohannishad7239-beep,https://github.com/z-pandeyji/BIT-SummerTraining/pull/321,replaced-by-clean-repair,#440,Completed assignment files moved to canonical paths; original malformed PR closed.
320,Day 3 Assignment - Rohan Nishad,rohannishad7239-beep,https://github.com/z-pandeyji/BIT-SummerTraining/pull/320,merged-direct,,Structure and completion review passed.
309,Add Day 5 assignment by raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/309,replaced-by-clean-repair,#441,Completed assignment files moved to canonical paths; original malformed PR closed.
305,Day 08 monika,Monika28dev,https://github.com/z-pandeyji/BIT-SummerTraining/pull/305,replaced-by-clean-repair,#442,Completed assignment files moved to canonical paths; original malformed PR closed.
303,Day 07 monika,Monika28dev,https://github.com/z-pandeyji/BIT-SummerTraining/pull/303,replaced-by-clean-repair,#443,Completed assignment files moved to canonical paths; original malformed PR closed.
297,Day 03 solution,Priyanshigupta12,https://github.com/z-pandeyji/BIT-SummerTraining/pull/297,replaced-by-clean-repair,#444,Completed assignment files moved to canonical paths; original malformed PR closed.
296,add day 09 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/296,replaced-by-clean-repair,#445,Completed assignment files moved to canonical paths; original malformed PR closed.
295,Day 02 priyanshi,Priyanshigupta12,https://github.com/z-pandeyji/BIT-SummerTraining/pull/295,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
294,Add Day 10 solution,Aashutosh-Singh7,https://github.com/z-pandeyji/BIT-SummerTraining/pull/294,closed-incomplete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
289,Day 10 solution,priyayadav962840-byte,https://github.com/z-pandeyji/BIT-SummerTraining/pull/289,replaced-by-clean-repair,#446,Completed assignment files moved to canonical paths; original malformed PR closed.
288,Day 06 monika,Monika28dev,https://github.com/z-pandeyji/BIT-SummerTraining/pull/288,replaced-by-clean-repair,#447,Completed assignment files moved to canonical paths; original malformed PR closed.
287,Day 9 solution,priyayadav962840-byte,https://github.com/z-pandeyji/BIT-SummerTraining/pull/287,replaced-by-clean-repair,#448,Completed assignment files moved to canonical paths; original malformed PR closed.
285,Day 03 aman singh,2007amansingh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/285,replaced-by-clean-repair,#449,Completed assignment files moved to canonical paths; original malformed PR closed.
283,Day 05 monika,Monika28dev,https://github.com/z-pandeyji/BIT-SummerTraining/pull/283,replaced-by-clean-repair,#450,Completed assignment files moved to canonical paths; original malformed PR closed.
282,Day 8 solution,priyayadav962840-byte,https://github.com/z-pandeyji/BIT-SummerTraining/pull/282,replaced-by-clean-repair,#451,Completed assignment files moved to canonical paths; original malformed PR closed.
280,Add Day 9 assignment by Kritika Gupta,gkritika374,https://github.com/z-pandeyji/BIT-SummerTraining/pull/280,replaced-by-clean-repair,#452,Completed assignment files moved to canonical paths; original malformed PR closed.
278,day 5 ritu,ritutiwari8,https://github.com/z-pandeyji/BIT-SummerTraining/pull/278,closed-duplicate,,Duplicate or incomplete assignment; exact feedback posted before closure.
275,day 4 ritu,ritutiwari8,https://github.com/z-pandeyji/BIT-SummerTraining/pull/275,closed-duplicate,,Duplicate or incomplete assignment; exact feedback posted before closure.
267,Day 5 solution by Vipul Yadav,vipulyadav6068,https://github.com/z-pandeyji/BIT-SummerTraining/pull/267,replaced-by-clean-repair,#453,Completed assignment files moved to canonical paths; original malformed PR closed.
265,Add day 06 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/265,merged-direct,,Structure and completion review passed.
259,Day 10 Assignment - Nilakshi Tripathi,tripathinilakshi20,https://github.com/z-pandeyji/BIT-SummerTraining/pull/259,replaced-by-clean-repair,#454,Completed assignment files moved to canonical paths; original malformed PR closed.
243,Day 06 completed -Milee,kannaujiyamilee,https://github.com/z-pandeyji/BIT-SummerTraining/pull/243,merged-direct,,Structure and completion review passed.
241,Day 04,anshrao0911,https://github.com/z-pandeyji/BIT-SummerTraining/pull/241,merged-direct,,Structure and completion review passed.
224,day 7 solution,priyayadav962840-byte,https://github.com/z-pandeyji/BIT-SummerTraining/pull/224,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
215,Add Day 2 assignment by Ashish Sharma,ashish972168,https://github.com/z-pandeyji/BIT-SummerTraining/pull/215,merged-direct,,Structure and completion review passed.
200,Day 04 malya,malyasrivastava886,https://github.com/z-pandeyji/BIT-SummerTraining/pull/200,replaced-by-clean-repair,#455,Completed assignment files moved to canonical paths; original malformed PR closed.
196,Day 05 nilakshi,tripathinilakshi20,https://github.com/z-pandeyji/BIT-SummerTraining/pull/196,closed-duplicate,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
188,day 01 completed - Kritika gupta,gkritika374,https://github.com/z-pandeyji/BIT-SummerTraining/pull/188,replaced-by-clean-repair,#457,Completed assignment files moved to canonical paths; original malformed PR closed.
182,Priyanshutripathi97,priyanshutripathi97,https://github.com/z-pandeyji/BIT-SummerTraining/pull/182,replaced-by-clean-repair,#423,Completed assignment files moved to canonical paths; original malformed PR closed.
177,Add Day 4 assignment by Priyanshu Upadhyay,code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/177,merged-direct,,Structure and completion review passed.
156,Day 1 Assignment - Nilakshi Tripathi,tripathinilakshi20,https://github.com/z-pandeyji/BIT-SummerTraining/pull/156,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
152,Day5 shalu,shalusingh660,https://github.com/z-pandeyji/BIT-SummerTraining/pull/152,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
139,Day 02 suraj,Suraj-yadav00,https://github.com/z-pandeyji/BIT-SummerTraining/pull/139,replaced-by-clean-repair,#458,Completed assignment files moved to canonical paths; original malformed PR closed.
138,Day 01 suraj,Suraj-yadav00,https://github.com/z-pandeyji/BIT-SummerTraining/pull/138,replaced-by-clean-repair,#459,Completed assignment files moved to canonical paths; original malformed PR closed.
137,Day 02 avinash,ARCQ001,https://github.com/z-pandeyji/BIT-SummerTraining/pull/137,replaced-by-clean-repair,#460,Completed assignment files moved to canonical paths; original malformed PR closed.
132,Day 05 nilakshi tripathi,tripathinilakshi20,https://github.com/z-pandeyji/BIT-SummerTraining/pull/132,replaced-by-clean-repair,#456,Completed assignment files moved to canonical paths; original malformed PR closed.
129,Day 04 nilakshi tripathi,tripathinilakshi20,https://github.com/z-pandeyji/BIT-SummerTraining/pull/129,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
128,Add Day-04 assignment solution,Monika28dev,https://github.com/z-pandeyji/BIT-SummerTraining/pull/128,replaced-by-clean-repair,#461,Completed assignment files moved to canonical paths; original malformed PR closed.
124,Day 03 ansh singh,anshsingh109500-prog,https://github.com/z-pandeyji/BIT-SummerTraining/pull/124,replaced-by-clean-repair,#462,Completed assignment files moved to canonical paths; original malformed PR closed.
123,Day 02 ansh singh,anshsingh109500-prog,https://github.com/z-pandeyji/BIT-SummerTraining/pull/123,replaced-by-clean-repair,#463,Completed assignment files moved to canonical paths; original malformed PR closed.
111,Day 1 assigment by Raj Kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/111,closed-duplicate,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
107,Add Day 4 assignment by aman singh,2007amansingh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/107,replaced-by-clean-repair,#464,Completed assignment files moved to canonical paths; original malformed PR closed.
103,Day 04 avinash,ARCQ001,https://github.com/z-pandeyji/BIT-SummerTraining/pull/103,replaced-by-clean-repair,#465,Completed assignment files moved to canonical paths; original malformed PR closed.
99,Day 04 muskan,vmuskan70,https://github.com/z-pandeyji/BIT-SummerTraining/pull/99,closed-incomplete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
97,Day 03 muskan,vmuskan70,https://github.com/z-pandeyji/BIT-SummerTraining/pull/97,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
86,Day 02 muskan fixed,vmuskan70,https://github.com/z-pandeyji/BIT-SummerTraining/pull/86,replaced-by-clean-repair,#466,Completed assignment files moved to canonical paths; original malformed PR closed.
85,Day 02 muskan,vmuskan70,https://github.com/z-pandeyji/BIT-SummerTraining/pull/85,closed-duplicate,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
83,Merge pull request #1 from z-pandeyji/main,vmuskan70,https://github.com/z-pandeyji/BIT-SummerTraining/pull/83,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
79,Day 04 vivek singh,huntersquad70,https://github.com/z-pandeyji/BIT-SummerTraining/pull/79,merged-direct,,Structure and completion review passed.
78,Day 03 prince yadave,coderprince444,https://github.com/z-pandeyji/BIT-SummerTraining/pull/78,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
50,Added Day1 Day2 Day3 assignments,Suraj-yadav00,https://github.com/z-pandeyji/BIT-SummerTraining/pull/50,replaced-by-clean-repair,#467,Completed assignment files moved to canonical paths; original malformed PR closed.
38,Complete day 01 python basic assignment,Monika28dev,https://github.com/z-pandeyji/BIT-SummerTraining/pull/38,replaced-by-clean-repair,#468,Completed assignment files moved to canonical paths; original malformed PR closed.
29,Day 02 prince yadav,coderprince444,https://github.com/z-pandeyji/BIT-SummerTraining/pull/29,replaced-by-clean-repair,#469,Completed assignment files moved to canonical paths; original malformed PR closed.
24,Day3 shalu,shalusingh660,https://github.com/z-pandeyji/BIT-SummerTraining/pull/24,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
23,Day2 shalu,shalusingh660,https://github.com/z-pandeyji/BIT-SummerTraining/pull/23,closed-obsolete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
16,Add Day 1 assignment by Prince yadav,coderprince444,https://github.com/z-pandeyji/BIT-SummerTraining/pull/16,closed-incomplete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
7,Day 02 raj singh,Rj-singh7565,https://github.com/z-pandeyji/BIT-SummerTraining/pull/7,replaced-by-clean-repair,#470,Completed assignment files moved to canonical paths; original malformed PR closed.
